date_local,site_number,sample_measurement,samp_dur_hrs
2025-07-06,0093,11.010416666666666,1
2025-07-06,0007,10.541666666666666,1
2025-07-07,0085,8.833333333333334,1
2025-07-07,0093,8.395833333333334,1
2025-07-07,0016,6.425,1
2025-07-07,0094,6.610416666666667,1
2025-07-07,0007,6.512499999999999,1
2025-07-08,0093,11.031818181818181,1
2025-07-08,0016,13.775,1
2025-07-08,0007,6.483333333333333,1
2025-07-08,0085,8.620454545454546,1
2025-07-08,0094,6.9437500000000005,1
2025-07-09,0016,6.541666666666667,1
2025-07-09,0094,4.488372093023256,1
2025-07-09,0093,7.76595744680851,1
2025-07-09,0085,6.04375,1
2025-07-09,0007,5.575,1
2025-07-10,0094,5.98125,1
2025-07-10,0093,7.959574468085107,1
2025-07-10,0085,8.058333333333334,1
2025-07-10,0007,6.995833333333334,1
2025-07-10,0016,12.072727272727274,1
2025-07-11,0016,9.825000000000001,1
2025-07-11,0007,8.283333333333333,1
2025-07-11,0085,7.96875,1
2025-07-11,0093,10.883333333333333,1
2025-07-11,0094,8.695833333333333,1
2025-07-12,0085,4.1875,1
2025-07-12,0093,5.295833333333333,1
2025-07-12,0094,4.685416666666667,1
2025-07-12,0016,6.745833333333334,1
2025-07-12,0007,4.679166666666666,1
2025-07-13,0085,5.016666666666667,1
2025-07-13,0093,5.527083333333334,1
2025-07-13,0094,5.8812500000000005,1
2025-07-13,0007,5.5,1
2025-07-13,0016,9.512500000000001,1
2025-07-14,0016,6.175,1
2025-07-14,0094,8.447916666666666,1
2025-07-14,0007,7.141666666666667,1
2025-07-14,0085,7.05,1
2025-07-14,0093,8.20625,1
2025-07-15,0093,9.15625,1
2025-07-15,0085,5.891666666666667,1
2025-07-15,0007,6.523809523809524,1
2025-07-15,0094,5.575,1
2025-07-15,0016,12.983333333333334,1
2025-07-16,0016,9.470833333333333,1
2025-07-16,0093,8.739583333333334,1
2025-07-16,0085,7.020833333333333,1
2025-07-16,0094,6.472916666666666,1
2025-07-16,0007,6.104166666666667,1
2025-07-17,0016,5.8875,1
2025-07-17,0007,5.637499999999999,1
2025-07-17,0085,5.860416666666667,1
2025-07-17,0093,7.708695652173914,1
2025-07-17,0094,5.210416666666666,1
2025-07-18,0093,9.543750000000001,1
2025-07-18,0007,7.716666666666666,1
2025-07-18,0085,8.772916666666667,1
2025-07-18,0016,9.125,1
2025-07-18,0094,7.758333333333333,1
2025-07-19,0093,11.8375,1
2025-07-19,0094,9.737499999999999,1
2025-07-19,0016,7.175,1
2025-07-19,0085,10.145833333333334,1
2025-07-19,0007,10.041666666666666,1
2025-07-20,0093,11.44375,1
2025-07-20,0085,10.029166666666667,1
2025-07-20,0007,10.049999999999999,1
2025-07-20,0016,4.241666666666666,1
2025-07-20,0094,9.716666666666667,1
2025-07-21,0093,4.914583333333334,1
2025-07-21,0085,4.285416666666666,1
2025-07-21,0094,4.625,1
2025-07-21,0016,9.225,1
2025-07-21,0007,3.6958333333333333,1
2025-07-22,0007,10.2125,1
2025-07-22,0085,10.689583333333333,1
2025-07-22,0093,15.836170212765957,1
2025-07-22,0094,9.577083333333333,1
2025-07-22,0016,11.9,1
2025-07-23,0016,9.476190476190476,1
2025-07-23,0093,16.662499999999998,1
2025-07-23,0094,13.814583333333333,1
2025-07-23,0007,14.070833333333333,1
2025-07-23,0085,13.334999999999999,1
2025-07-24,0093,13.927272727272726,1
2025-07-24,0094,9.672093023255814,1
2025-07-24,0085,10.991666666666667,1
2025-07-24,0016,9.183333333333334,1
2025-07-24,0007,10.995833333333332,1
2025-07-25,0007,8.0625,1
2025-07-25,0085,8.479166666666666,1
2025-07-25,0093,10.231250000000001,1
2025-07-25,0094,7.295833333333333,1
2025-07-25,0016,10.0625,1
2025-07-26,0094,5.699999999999999,1
2025-07-26,0093,8.821428571428571,1
2025-07-26,0085,6.4875,1
2025-07-26,0007,5.941666666666666,1
2025-07-26,0016,5.058333333333333,1
2025-07-27,0016,4.016666666666667,1
2025-07-27,0007,4.291666666666667,1
2025-07-27,0094,4.314583333333333,1
2025-07-27,0093,5.158333333333333,1
2025-07-27,0085,4.135416666666667,1
2025-07-28,0016,7.4750000000000005,1
2025-07-28,0094,7.997916666666666,1
2025-07-28,0085,8.106250000000001,1
