date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum
2025-05-28,72.84806,0.018543046,0.046357617,7.1003313,9.02309,16.887749
2025-05-29,69.67601,7.1039734,5.6887417,4.47351,7.6926756,12.198808
2025-05-30,77.27714,2.097351,0.6423841,7.695695,14.4822445,29.273973
2025-05-31,81.951775,0.0,0.0,7.827483,12.0957775,27.923643
2025-06-01,82.24144,0.0,0.0,7.837417,5.6629953,25.941061
2025-06-02,85.6817,0.0,0.0,7.9,9.390503,26.700663
2025-06-03,85.67336,0.3754967,0.410596,7.4857616,17.08953,24.525959
2025-06-04,78.6772,42.878147,7.9933777,6.4854302,12.374031,15.281789
2025-06-05,70.78819,1.3900663,1.0,5.8986754,7.7753334,11.416093
2025-06-06,73.29329,11.871523,4.218543,2.7284768,6.9915147,13.200994
2025-06-07,72.425476,10.669537,2.6821191,6.568212,9.584852,13.885165
2025-06-08,82.64435,1.9993377,0.92715234,7.8483443,11.387274,27.19841
2025-06-09,81.63051,0.056953646,0.0794702,7.721523,13.617865,29.990862
2025-06-10,80.03376,0.0,0.0,7.8493376,6.912027,29.46735
2025-06-11,86.347466,0.0,0.0,7.515232,9.070676,29.88927
2025-06-12,80.31806,0.53377485,0.9668874,4.746358,7.40331,19.155098
2025-06-13,77.96376,8.9351,4.370861,6.875828,8.388617,10.92106
2025-06-14,80.74184,0.6880795,0.5960265,6.3354306,10.580629,15.382185
2025-06-15,82.60502,0.023178808,0.052980132,7.3781457,7.7884245,22.70278
2025-06-16,80.819916,0.8410596,0.4834437,5.7695365,6.7621183,20.716953
2025-06-17,87.48111,1.9490068,0.3112583,7.9493375,7.949563,25.603378
2025-06-18,84.73283,7.8384104,0.397351,7.875828,18.979752,22.241457
2025-06-19,85.61018,0.8649007,0.28476822,7.931788,8.067682,30.017881
2025-06-20,91.39521,0.0,0.0,7.9950333,12.28973,28.680529
2025-06-21,94.60541,0.0,0.0,8.0254965,13.704585,29.575497
2025-06-22,95.042305,0.0,0.0,8.040729,11.650351,30.241392
2025-06-23,94.55833,0.0,0.0,7.9569535,10.87348,27.988543
2025-06-24,94.07197,0.0,0.0,7.92053,8.857495,26.648476
2025-06-25,93.91462,1.684106,0.17218544,7.936424,9.80531,20.550066
