date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum,NO2,PM25
2025-04-29,76.22098,12.001987,2.6688743,4.537086,16.202383,13.163974,6.3687499999999995,6.272276958413927
2025-04-30,74.29521,27.984106,4.4172187,6.09404,11.335807,15.860065,13.950694444444444,8.137247023809524
2025-05-01,73.882164,13.854304,0.9933775,6.915231,13.081917,17.267881,7.378731884057971,5.55425
2025-05-02,64.995415,0.088079475,0.09933775,4.2933774,8.918671,16.987286,6.659722222222221,5.360833333333334
2025-05-03,55.98528,10.2364235,7.192053,5.8410597,12.002879,10.802848,3.284722222222222,5.161666666666667
2025-05-04,60.892365,0.0,0.0,5.7559605,9.9565935,22.24788,3.318867243867244,2.6158333333333332
2025-05-05,58.689453,0.0,0.0,5.593046,7.1341515,11.330729,7.547222222222222,5.385416666666667
2025-05-06,71.28468,0.0,0.0,7.4688735,5.63968,27.273046,14.138888888888888,9.804821428571428
2025-05-07,73.49595,0.65562916,0.6423841,6.932451,12.710222,22.515165,14.378333333333336,8.443333333333333
2025-05-08,69.65992,5.3536425,2.2715232,7.2483444,9.62695,19.007881,8.338888888888889,7.130833333333333
2025-05-09,71.2519,0.0,0.0,7.501987,9.387873,28.428875,7.722222222222222,6.60625
2025-05-10,76.76634,0.0,0.0,7.198344,7.4751015,29.300396,14.722222222222223,11.902916666666666
2025-05-11,79.286934,0.0,0.0,7.1049666,9.324837,28.425827,8.365404040404039,7.1
2025-05-12,70.32508,14.519868,3.8476822,6.2774835,7.148026,11.7003975,11.454166666666666,8.249583333333334
2025-05-13,77.89283,1.7456954,0.37086093,7.5437083,5.644038,18.49371,11.977777777777776,8.180833333333334
2025-05-14,82.09601,0.35629138,0.2781457,7.6023183,12.605921,21.122715,10.24280303030303,9.850833333333334
2025-05-15,85.87065,0.095364235,0.01986755,7.3612585,14.655461,25.57967,6.766666666666667,13.062916666666666
2025-05-16,84.60468,10.907285,0.80794704,7.7,16.920122,25.934305,8.889285714285714,9.70077503052503
2025-05-17,74.10508,0.0,0.0,7.515232,14.7731495,29.321722,5.535416666666666,5.204166666666667
2025-05-18,78.072235,0.020529801,0.046357617,7.677152,7.2961464,28.742914,7.927669552669553,5.9484375
2025-05-19,81.7825,9.009933,2.9801323,7.2082777,14.116536,20.730862,7.972222222222222,8.2140625
2025-05-20,79.70714,10.553642,2.0066226,7.6420527,14.904511,22.604305,5.901388888888889,5.541666666666667
2025-05-21,72.98336,0.0,0.0,7.684437,16.880491,30.127813,3.7236111111111114,3.195809108527132
2025-05-22,70.05806,0.0,0.0,7.596358,15.857134,29.544703,3.648611111111111,2.9318055555555556
2025-05-23,71.70369,0.0,0.0,7.740066,5.2484846,29.579273,8.723611111111111,5.7979166666666675
2025-05-24,73.25634,0.0052980133,0.013245033,6.9701986,10.336594,23.79947,10.161111111111111,8.820416666666667
2025-05-25,62.664948,0.48211923,0.9072848,1.7033113,10.508953,8.722781,7.201767676767677,7.109583333333333
2025-05-26,69.92932,0.0,0.0,5.4807944,11.981165,24.953775,4.451388888888888,3.847083333333333
2025-05-27,73.13833,0.05165563,0.07284768,3.3384106,7.7003617,16.108742,5.541666666666667,6.2855952380952385
2025-05-28,72.84806,0.018543046,0.046357617,7.1003313,9.02309,16.887749,6.7850241545893715,6.304345183380825
2025-05-29,69.67601,7.1039734,5.6887417,4.47351,7.6926756,12.198808,13.939734299516907,12.159583333333334
2025-05-30,77.27714,2.097351,0.6423841,7.695695,14.4822445,29.273973,5.440277777777777,7.272083333333333
2025-05-31,81.951775,0.0,0.0,7.827483,12.0957775,27.923643,5.5375000000000005,9.059583333333332
2025-06-01,82.24144,0.0,0.0,7.837417,5.6629953,25.941061,8.009217171717172,8.850416666666666
2025-06-02,85.6817,0.0,0.0,7.9,9.390503,26.700663,11.788888888888886,11.906666666666666
2025-06-03,85.67336,0.3754967,0.410596,7.4857616,17.08953,24.525959,7.1819444444444445,14.070833333333331
2025-06-04,78.6772,42.878147,7.9933777,6.4854302,12.374031,15.281789,10.744444444444445,9.50065476190476
2025-06-05,70.78819,1.3900663,1.0,5.8986754,7.7753334,11.416093,6.820833333333333,7.740833333333333
2025-06-06,73.29329,11.871523,4.218543,2.7284768,6.9915147,13.200994,12.701388888888891,14.163750000000002
2025-06-07,72.425476,10.669537,2.6821191,6.568212,9.584852,13.885165,7.023611111111111,22.021694444444442
2025-06-08,82.64435,1.9993377,0.92715234,7.8483443,11.387274,27.19841,3.3900252525252523,12.490416666666667
2025-06-09,81.63051,0.056953646,0.0794702,7.721523,13.617865,29.990862,5.2625,13.979166666666668
2025-06-10,80.03376,0.0,0.0,7.8493376,6.912027,29.46735,10.776388888888889,17.36753787878788
2025-06-11,86.347466,0.0,0.0,7.515232,9.070676,29.88927,14.56407553798858,22.445075757575758
2025-06-12,80.31806,0.53377485,0.9668874,4.746358,7.40331,19.155098,13.91388888888889,21.90246212121212
2025-06-13,77.96376,8.9351,4.370861,6.875828,8.388617,10.92106,8.947222222222223,5.8575678294573645
2025-06-14,80.74184,0.6880795,0.5960265,6.3354306,10.580629,15.382185,3.3333333333333335,6.3475
2025-06-15,82.60502,0.023178808,0.052980132,7.3781457,7.7884245,22.70278,5.277020202020203,7.922083333333333
2025-06-16,80.819916,0.8410596,0.4834437,5.7695365,6.7621183,20.716953,9.966666666666667,6.75625
2025-06-17,87.48111,1.9490068,0.3112583,7.9493375,7.949563,25.603378,8.877777777777778,9.629166666666666
2025-06-18,84.73283,7.8384104,0.397351,7.875828,18.979752,22.241457,6.641666666666666,6.192386363636364
2025-06-19,85.61018,0.8649007,0.28476822,7.931788,8.067682,30.017881,5.454166666666666,6.286666666666667
2025-06-20,91.39521,0.0,0.0,7.9950333,12.28973,28.680529,8.00138888888889,8.819583333333334
2025-06-21,94.60541,0.0,0.0,8.0254965,13.704585,29.575497,3.3041666666666667,10.088750000000001
2025-06-22,95.042305,0.0,0.0,8.040729,11.650351,30.241392,3.157070707070707,12.036083333333334
2025-06-23,94.55833,0.0,0.0,7.9569535,10.87348,27.988543,4.8500000000000005,11.216249999999999
2025-06-24,94.07197,0.0,0.0,7.92053,8.857495,26.648476,6.665277777777778,9.782916666666667
2025-06-25,93.91462,1.684106,0.17218544,7.936424,9.80531,20.550066,6.842572463768117,10.697155266878756
2025-06-26,93.4378,0.059602648,0.0066225166,7.906623,10.627646,27.372913,5.492270531400966,7.594461517165006
2025-06-27,88.918724,13.113908,1.9933774,7.5701985,11.457107,19.179205,8.580555555555556,6.7299999999999995
2025-06-28,90.286606,0.07549669,0.03311258,7.9033113,11.18831,26.445961,6.383333333333333,5.202916666666667
2025-06-29,82.39164,5.430464,2.2317882,6.1788077,7.427252,17.39755,5.375631313131314,4.527142857142858
2025-06-30,87.06747,13.728477,1.0596026,7.607616,11.173689,21.094503,6.570833333333333,6.498958333333333
2025-07-01,85.31931,0.0,0.0,7.914901,10.214578,30.142914,4.948611111111111,5.739583333333334
2025-07-02,88.307205,0.0,0.0,7.9745035,5.1408405,26.586357,9.505555555555555,11.021666666666667
2025-07-03,90.71754,0.0,0.0,7.3831124,4.8643436,27.00371,9.78888888888889,12.514583333333333
2025-07-04,91.84581,0.15231788,0.0066225166,7.9933777,9.063958,28.300995,8.480555555555556,18.12708333333333
2025-07-05,92.03237,0.6721854,0.08609272,7.9016557,9.122516,29.102846,6.831944444444445,14.430416666666668
2025-07-06,90.39031,4.809272,0.98013246,7.6003313,13.170955,16.209536,3.7506313131313127,9.225833333333332
